页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
23,7862861657,Nl5EilNdw,家有充电宝-,2023-09-26 17:01:04,湖南科技大学考研  求心理健康教育非全上岸的学长学姐 必须要有三年工作经验还是毕业三年就可以报考？ ,0,0,0
23,7727769904,Nl5zb0rOm,湖南教育发布,2023-09-26 16:48:27,#2023湖南高校最美军训瞬间# 看湖南科技大学潇湘学院的新生们勇敢向前，顽强拼搏，他们用汗水丈量大地，他们在此收获了珍贵友谊，他们在教官严格带领和助班悉心关爱下习得本领。 #爱国强军##戎装展英姿##飞扬正青春# 湖南教育发布的微博视频 ,4,3,17
23,6353999804,Nl5jQnhnX,麻辣烫要加香菜吖ii,2023-09-26 16:10:41,湖南科技大学教育学考研有人有司南统考333刷题的资料嘛，是用小程序还是纸质资料哇 ,0,3,0
24,7416216286,Nl53aw30S,教育学谢康康,2023-09-26 15:29:36,💢大改！湖南科技大学  9月20号，湖南科技大学公布招生目录和参考书目。简单来说，全面限考，部分专业都有所变动，先来看看具体有哪些变动↓↓ ↓  1⃣816学科地理 参考书无变动。 限制跨考，拟招人数为：全日制 10+非全 15； 2⃣827学科化学 拟招人数为全日制19+非全5 ，限制跨考，参考书目不变； 3 ...全文,0,0,1
24,7052980191,Nl52Fq4zF,司南考研教育,2023-09-26 15:28:22,💢大改！湖南科技大学  9月20号，湖南科技大学公布招生目录和参考书目。简单来说，全面限考，部分专业都有所变动，先来看看具体有哪些变动↓↓ ↓  1⃣816学科地理 参考书无变动。 限制跨考，拟招人数为：全日制 10+非全 15； 2⃣827学科化学 拟招人数为全日制19+非全5 ，限制跨考，参考书目不变； 3 ...全文,0,0,0
24,3163613683,Nl4xOaPC7,嘘柱哥,2023-09-26 14:12:19,求 sn的资料新统考333  有出的吗  2022湖南科技大学教育学考研 ,0,0,0
24,3163613683,Nl4xvwC4X,嘘柱哥,2023-09-26 14:11:36,求一份  学科数学 新大纲资料和课程  有机构整理好的吗？ 最好是sn的。别的不要  湖南科技大学教育学考研 ,0,2,0
24,2038218622,Nl2sYaQU6,湘潭台,2023-09-26 08:54:55,【教育部科技部自然资源部中共湖南省委联合印发《关于开展向万步炎同志学习活动的决定》】万步炎，男，汉族，1964年1月生，湖南华容人，中共党员，现为湖南科技大学教授、博士生导师，第十四届全国人大代表。万步炎同志从事科研工作30多年如一日，聚焦国家重大战略需求，带领团队开拓创新，勇攀科技高 ...全文,0,0,0
24,6499290871,Nl26B1T9M,anti_ti_ti_ti_ti,2023-09-26 07:59:47,湖南科技大学9月30号晚上麻将三缺一，有哪位帅哥美女来不？大概下午三四点开始，不打钱的，快来快来 ,0,2,2
24,7464410241,Nl26ka978,圆-Yuannn,2023-09-26 07:59:08,湖南科技大学 谁30号下午来打麻将啊🀄️三缺一了不打钱 ,0,4,4
24,2727296177,NkYaypVjV,君仔码头_Z,2023-09-25 21:58:34,湖南科技大学 科大可以买到专属月饼吗 ,0,0,0
